area_name,salary
Ленино,50000.000
Леньки,50000.000
Нижнегорский,50000.000
Николаевка,50000.000
Никита (Республика Крым),50000.000
Ореанда,50000.000
Пятовский,50000.000
Мурманск,49997.853
Нефтеюганск,49779.336
Куровское,49723.077
Зеленогорск (Красноярский край),49714.286
Мирный (Архангельская область),49666.667
Суворов,49633.333
Сургут,49489.896
Краснозаводск,49450.000
Сочи,49443.320
Ивангород,49375.000
Ноябрьск,49324.436
Белоярский,49300.000
Екатеринбург,49295.509
Армянск,49164.333
Ливия,49161.000
Новосибирск,49144.016
Васюринская,49142.857
Луховицы,49133.333
Железногорск-Илимский,49062.500
Чусовой,49000.000
Усинск,48994.737
Старица,48860.000
Сковородино,48850.000
Кировск (Ленинградская область),48817.857
Феодосия,48807.692
Краснощёково,48750.000
Оленегорск,48540.625
Ревда (Свердловская область),48500.000
Малые Вязёмы,48400.000
Анжеро-Судженск,48349.000
Чита,48340.218
Комсомольск-на-Амуре,48325.370
Орехово-Зуево,48304.196
Обнинск,48270.142
Советск (Калининградская область),48200.000
Петергоф,48076.923
Зеленогорск (Ленинградская обл),48070.833
Шлиссельбург,48000.000
"Демихово (Московская область, Орехово-Зуевский район)",48000.000
Алексеевка,47977.647
Мончегорск,47885.417
Конаково,47866.667
Сельцо,47850.000
Киселевск,47761.786
Калининград,47741.098
Центральный округ,47656.591
Геническ,47500.000
Дальнегорск,47500.000
свх Масловский,47500.000
Грэсовский,47500.000
Десногорск,47477.625
Кокошкино,47377.778
Шатура,47355.556
Астана,47268.461
Егорьевск,47204.412
Алексин,47180.000
Богучар,47100.000
Мариуполь,47086.824
Волоколамск,47042.857
Ряжск,47000.000
Майма,47000.000
Нижние Вязовые,47000.000
Обухово,47000.000
Советский (Ханты-Мансийский АО),46900.000
Кемь,46750.000
Беломорск,46750.000
Комсомольский (Республика Мордовия),46750.000
Костомукша,46750.000
Атяшево,46750.000
Сестрорецк,46722.222
Лодейное Поле,46666.667
Черноморское,46666.667
Харабали,46650.000
Подпорожье,46585.000
Светлый,46562.500
Иркутск,46489.055
Гурзуф,46480.000
Львов,46397.691
Белово,46334.559
Радужный (Ханты-Мансийский АО - Югра),46300.000
Тура (Красноярский край),46285.000
Новозавидовский,46250.000
Глебовский,46250.000
Смоленская,46250.000
Лучинское,46250.000
Всеволожск,46219.298
Балабаново,46214.235
Могоча,46168.500
Нижневартовск,46007.312
Серышево,46000.000
Сокольники,46000.000
Протвино,45920.000
Озерск (Челябинская область),45908.333
Киржач,45847.059
пгт имени Свердлова,45833.333
Ревда (Мурманская область),45825.000
Благовещенск (Амурская область),45793.435
Ликино-Дулево,45761.538
Воркута,45711.111
Гатчина,45698.276
Янино-1,45625.000
Братск,45546.757
Плеханово,45500.000
Аргаяш,45500.000
Медвенка,45500.000
Лангепас,45474.583
Бологое,45466.667
Ухта,45406.977
Северодвинск,45201.656
Редкино (Тверская область),45142.857
Кемерово,45100.073
Шелехов,45034.483
Прохладный (Свердловская область),45000.000
Добринка,45000.000
Оха,45000.000
Красноперекопск,45000.000
Зайково (Свердловская область),45000.000
Приобье,45000.000
Хлевное,45000.000
Нижняя Тавда,45000.000
Афипский,45000.000
Петровск-Забайкальский,45000.000
Кяхта,45000.000
Тайшет,45000.000
поселок Карла Либкнехта,45000.000
Вагай,45000.000
Фокино (Брянская область),45000.000
Усть-Ордынский,45000.000
Усть-Уда,45000.000
Князе-Волконское,45000.000
Медведовская,45000.000
Посёлок имени Карла Либкнехта,45000.000
Железнодорожный (Иркутская область),45000.000
Тулун,45000.000
Поварово,45000.000
Правдинск (Калининградская область),45000.000
Кириши,44921.875
Первоуральск,44819.512
Запорожье,44756.591
Красноярск,44726.503
Верея,44725.000
Томск,44601.203
Павловск (Алтайский край),44600.000
Адлер,44590.784
